iteration f_val best_f_so_far metric diversity diversityMin
11 -36.818241 -36.818241 39.666668 35.196491 0.000000
11 -37.042290 -37.042290 38.444443 29.408451 0.000000
11 -42.260437 -42.260437 41.222221 20.944872 0.000000
11 -40.977581 -40.977581 40.777779 20.706955 0.000000
11 -36.475536 -36.475536 37.333332 29.790359 0.000000
12 -39.033546 -39.033546 39.666668 34.155361 0.000000
12 -38.672794 -38.672794 39.666668 26.862122 0.000000
12 -41.408978 -41.408978 42.000000 27.507507 0.000000
12 -40.982681 -40.982681 41.333332 23.475811 0.000000
12 -37.569706 -37.569706 38.444443 37.296654 0.000000
13 -39.944393 -39.944393 39.555557 39.862507 0.000000
13 -39.841263 -39.841263 40.666668 30.278294 0.000000
13 -42.253952 -42.253952 41.333332 42.524132 0.000000
13 -41.567928 -41.567928 41.333332 22.960817 0.000000
13 -38.740738 -38.740738 39.555557 27.501156 0.000000
14 -39.887299 -39.887299 39.777779 35.211819 0.000000
14 -40.859863 -40.859863 41.888889 43.938709 0.000000
14 -41.520496 -41.520496 42.000000 43.823696 0.000000
14 -41.534809 -41.534809 42.000000 31.337351 0.000000
14 -38.925465 -38.925465 39.111111 37.440315 0.000000
15 -40.129898 -40.129898 39.888889 40.639015 0.000000
15 -42.106094 -42.106094 42.000000 43.993763 0.000000
15 -42.242359 -42.242359 41.333332 33.482372 0.000000
15 -42.236183 -42.236183 42.000000 24.824030 0.000000
15 -39.409393 -39.409393 39.555557 37.287636 0.000000
16 -40.142296 -40.142296 39.666668 40.394939 0.000000
16 -42.201794 -42.201794 40.888889 43.256214 0.000000
16 -41.569847 -41.569847 42.000000 47.190346 0.000000
16 -42.225441 -42.225441 42.000000 24.720785 0.000000
16 -39.862427 -39.862427 39.666668 41.661427 0.000000
17 -40.003628 -40.003628 39.666668 41.420750 0.000000
17 -41.093075 -41.093075 41.777779 25.622780 0.000000
17 -42.199795 -42.199795 42.000000 24.185585 0.000000
17 -42.211441 -42.211441 42.000000 23.632219 0.000000
17 -39.947876 -39.947876 39.777779 36.556530 0.000000
18 -39.997936 -39.997936 39.777779 39.336174 0.000000
18 -41.960400 -41.960400 42.000000 29.350933 0.000000
18 -42.199280 -42.199280 42.000000 20.629429 0.000000
18 -42.205170 -42.205170 42.000000 23.365934 0.000000
18 -40.032619 -40.032619 39.888889 32.047676 0.000000
19 -40.138195 -40.138195 39.777779 41.675072 0.000000
19 -42.182568 -42.182568 42.000000 24.415792 0.000000
19 -42.178673 -42.178673 42.000000 21.755953 0.000000
19 -42.188526 -42.188526 42.000000 19.986607 0.000000
19 -40.136906 -40.136906 41.444443 27.632362 0.000000
20 -40.163528 -40.163528 39.777779 43.040977 0.000000
20 -42.179619 -42.179619 42.000000 18.211617 0.000000
20 -42.184166 -42.184166 42.000000 24.527325 0.000000
20 -42.199867 -42.199867 42.000000 20.178562 0.000000
20 -41.657177 -41.657177 40.777779 37.952030 0.000000
21 -40.208187 -40.208187 39.777779 43.236752 0.000000
21 -42.165222 -42.165222 42.000000 22.324652 0.000000
21 -42.179607 -42.179607 42.000000 18.772602 0.000000
21 -42.192867 -42.192867 42.000000 20.855299 0.000000
21 -41.019814 -41.019814 41.333332 36.170677 0.000000
22 -40.206478 -40.206478 39.777779 42.929916 0.000000
22 -42.176392 -42.176392 42.000000 19.188433 0.000000
22 -42.178551 -42.178551 42.000000 17.899622 0.000000
22 -42.192287 -42.192287 42.000000 19.399061 0.000000
22 -41.530632 -41.530632 42.000000 33.326988 0.000000
23 -40.207077 -40.207077 39.777779 43.621471 0.000000
23 -42.176872 -42.176872 42.000000 16.706024 0.000000
23 -42.178997 -42.178997 42.000000 22.364468 0.000000
23 -42.193989 -42.193989 42.000000 20.093479 0.000000
23 -42.170296 -42.170296 41.666668 45.624153 0.000000
24 -40.213993 -40.213993 39.777779 43.581818 0.000000
24 -42.167061 -42.167061 42.000000 18.052549 0.000000
24 -42.181618 -42.181618 42.000000 22.999937 0.000000
24 -42.185040 -42.185040 42.000000 19.306665 0.000000
24 -41.853176 -41.853176 41.333332 26.053699 0.000000
25 -40.200008 -40.200008 39.777779 42.642914 0.000000
25 -42.172844 -42.172844 42.000000 18.826342 0.000000
25 -42.178703 -42.178703 42.000000 21.004612 0.000000
25 -42.186390 -42.186390 42.000000 20.180733 0.000000
25 -41.556396 -41.556396 41.555557 26.338640 0.000000
26 -40.204208 -40.204208 39.777779 46.149212 0.000000
26 -42.165794 -42.165794 42.000000 16.915356 0.000000
26 -42.204391 -42.204391 42.000000 20.785954 0.000000
26 -42.186081 -42.186081 42.000000 20.547646 0.000000
26 -41.762825 -41.762825 42.000000 24.657869 0.000000
27 -40.200779 -40.200779 39.777779 42.492149 0.000000
27 -42.169155 -42.169155 42.000000 18.811403 0.000000
27 -42.198860 -42.198860 42.000000 23.177715 0.000000
27 -42.186546 -42.186546 42.000000 19.975561 0.000000
27 -42.177116 -42.177116 42.000000 23.689522 0.000000
28 -40.202702 -40.202702 39.777779 43.853451 0.000000
28 -42.167736 -42.167736 42.000000 17.219416 0.000000
28 -42.198338 -42.198338 42.000000 22.950424 0.000000
28 -42.186325 -42.186325 42.000000 18.817801 0.000000
28 -42.178448 -42.178448 42.000000 21.784168 0.000000
29 -40.216312 -40.216312 39.777779 45.607052 0.000000
29 -42.167366 -42.167366 42.000000 17.439722 0.000000
29 -42.184418 -42.184418 42.000000 21.258930 0.000000
29 -42.180614 -42.180614 42.000000 19.107454 0.000000
29 -42.171463 -42.171463 42.000000 20.987654 0.000000
30 -40.225140 -40.225140 39.777779 45.968742 0.000000
30 -42.174397 -42.174397 42.000000 17.568800 0.000000
30 -42.201263 -42.201263 42.000000 21.141611 0.000000
30 -42.186249 -42.186249 42.000000 18.148743 0.000000
30 -42.182964 -42.182964 42.000000 20.807526 0.000000
31 -40.215900 -40.215900 39.777779 46.014503 0.000000
31 -42.169838 -42.169838 42.000000 17.394915 0.000000
31 -42.187763 -42.187763 42.000000 20.830177 0.000000
31 -42.181137 -42.181137 42.000000 18.277119 0.000000
31 -42.173191 -42.173191 42.000000 18.529713 0.000000
32 -40.228527 -40.228527 39.777779 46.082905 0.000000
32 -42.170776 -42.170776 42.000000 17.069393 0.000000
32 -42.195618 -42.195618 42.000000 20.833969 0.000000
32 -42.182770 -42.182770 42.000000 18.476656 0.000000
32 -42.181263 -42.181263 42.000000 18.813614 0.000000
33 -40.220211 -40.220211 39.777779 45.301487 0.000000
33 -42.170261 -42.170261 42.000000 17.726212 0.000000
33 -42.188267 -42.188267 42.000000 20.964035 0.000000
33 -42.183456 -42.183456 42.000000 18.823870 0.000000
33 -42.188137 -42.188137 42.000000 19.266315 0.000000
34 -40.215714 -40.215714 39.777779 44.778831 0.000000
34 -42.173756 -42.173756 42.000000 18.121456 0.000000
34 -42.190979 -42.190979 42.000000 20.926767 0.000000
34 -42.187355 -42.187355 42.000000 19.285700 0.000000
34 -42.192661 -42.192661 42.000000 23.173048 0.000000
35 -40.213192 -40.213192 39.777779 44.583843 0.000000
35 -42.178158 -42.178158 42.000000 18.239277 0.000000
35 -42.198017 -42.198017 42.000000 22.532585 0.000000
35 -42.190708 -42.190708 42.000000 19.170208 0.000000
35 -42.189152 -42.189152 42.000000 20.432074 0.000000
36 -40.214115 -40.214115 39.777779 45.055592 0.000000
36 -42.178402 -42.178402 42.000000 18.132568 0.000000
36 -42.204475 -42.204475 42.000000 21.571003 0.000000
36 -42.191490 -42.191490 42.000000 19.208584 0.000000
36 -42.183815 -42.183815 42.000000 19.694393 0.000000
37 -40.215572 -40.215572 39.777779 46.303833 0.000000
37 -42.178715 -42.178715 42.000000 18.321054 0.000000
37 -42.199039 -42.199039 42.000000 20.691149 0.000000
37 -42.191257 -42.191257 42.000000 19.466349 0.000000
37 -42.196434 -42.196434 42.000000 20.497095 0.000000
38 -40.219078 -40.219078 39.777779 44.903767 0.000000
38 -42.181286 -42.181286 42.000000 18.250105 0.000000
38 -42.206913 -42.206913 42.000000 20.887024 0.000000
38 -42.194103 -42.194103 42.000000 19.539667 0.000000
38 -42.189266 -42.189266 42.000000 20.345791 0.000000
39 -40.221233 -40.221233 39.777779 44.181023 0.000000
39 -42.181370 -42.181370 42.000000 18.313807 0.000000
39 -42.204266 -42.204266 42.000000 21.128777 0.000000
39 -42.194210 -42.194210 42.000000 19.424782 0.000000
39 -42.188877 -42.188877 42.000000 19.189676 0.000000
40 -40.219589 -40.219589 39.777779 44.406364 0.000000
40 -42.181454 -42.181454 42.000000 18.278036 0.000000
40 -42.198318 -42.198318 42.000000 20.904896 0.000000
40 -42.194248 -42.194248 42.000000 19.519501 0.000000
40 -42.190048 -42.190048 42.000000 21.496275 0.000000
41 -40.221844 -40.221844 39.777779 44.635342 0.000000
41 -42.180958 -42.180958 42.000000 18.171429 0.000000
41 -42.207413 -42.207413 42.000000 21.972055 0.000000
41 -42.194290 -42.194290 42.000000 19.482130 0.000000
41 -42.191025 -42.191025 42.000000 20.012062 0.000000
42 -40.221104 -40.221104 39.777779 44.771843 0.000000
42 -42.181179 -42.181179 42.000000 18.311953 0.000000
42 -42.207706 -42.207706 42.000000 21.352501 0.000000
42 -42.194221 -42.194221 42.000000 19.484625 0.000000
42 -42.183914 -42.183914 42.000000 19.656258 0.000000
43 -40.221397 -40.221397 39.777779 44.652534 0.000000
43 -42.181129 -42.181129 42.000000 18.196890 0.000000
43 -42.208275 -42.208275 42.000000 22.189604 0.000000
43 -42.194260 -42.194260 42.000000 19.462311 0.000000
43 -42.187698 -42.187698 42.000000 19.241217 0.000000
44 -40.222561 -40.222561 39.777779 44.619816 0.000000
44 -42.181343 -42.181343 42.000000 18.174849 0.000000
44 -42.207153 -42.207153 42.000000 21.338484 0.000000
44 -42.194344 -42.194344 42.000000 19.462362 0.000000
44 -42.192413 -42.192413 42.000000 20.296633 0.000000
45 -40.222664 -40.222664 39.777779 44.598961 0.000000
45 -42.181358 -42.181358 42.000000 18.170664 0.000000
45 -42.208073 -42.208073 42.000000 21.068501 0.000000
45 -42.194290 -42.194290 42.000000 19.458754 0.000000
45 -42.192097 -42.192097 42.000000 19.772694 0.000000
46 -40.222496 -40.222496 39.777779 44.648407 0.000000
46 -42.181206 -42.181206 42.000000 18.167503 0.000000
46 -42.208199 -42.208199 42.000000 20.997753 0.000000
46 -42.194309 -42.194309 42.000000 19.445625 0.000000
46 -42.192108 -42.192108 42.000000 19.226795 0.000000
47 -40.222351 -40.222351 39.777779 44.530510 0.000000
47 -42.181568 -42.181568 42.000000 18.208916 0.000000
47 -42.209358 -42.209358 42.000000 21.089508 0.000000
47 -42.194309 -42.194309 42.000000 19.432522 0.000000
47 -42.191219 -42.191219 42.000000 19.307306 0.000000
48 -40.223083 -40.223083 39.777779 44.768597 0.000000
48 -42.181492 -42.181492 42.000000 18.199017 0.000000
48 -42.209858 -42.209858 42.000000 21.294603 0.000000
48 -42.194324 -42.194324 42.000000 19.440222 0.000000
48 -42.193073 -42.193073 42.000000 20.117838 0.000000
49 -40.223412 -40.223412 39.777779 44.687923 0.000000
49 -42.181355 -42.181355 42.000000 18.190689 0.000000
49 -42.208496 -42.208496 42.000000 21.073917 0.000000
49 -42.194401 -42.194401 42.000000 19.450018 0.000000
49 -42.195301 -42.195301 42.000000 20.220329 0.000000
50 -40.223675 -40.223675 39.777779 45.321682 0.000000
50 -42.181587 -42.181587 42.000000 18.069057 0.000000
50 -42.209408 -42.209408 42.000000 21.073601 0.000000
50 -42.194393 -42.194393 42.000000 19.353518 0.000000
50 -42.197105 -42.197105 42.000000 20.064844 0.000000
51 -40.230064 -40.230064 39.777779 45.246193 0.000000
51 -42.180473 -42.180473 42.000000 18.070827 0.000000
51 -42.208767 -42.208767 42.000000 21.068348 0.000000
51 -42.193333 -42.193333 42.000000 19.341263 0.000000
51 -42.192951 -42.192951 42.000000 20.093063 0.000000
52 -40.229687 -40.229687 39.777779 45.320747 0.000000
52 -42.180710 -42.180710 42.000000 18.132723 0.000000
52 -42.208740 -42.208740 42.000000 20.955673 0.000000
52 -42.193386 -42.193386 42.000000 19.339796 0.000000
52 -42.195400 -42.195400 42.000000 19.444662 0.000000
53 -40.229401 -40.229401 39.777779 45.354156 0.000000
53 -42.180721 -42.180721 42.000000 18.142397 0.000000
53 -42.208439 -42.208439 42.000000 20.867332 0.000000
53 -42.193398 -42.193398 42.000000 19.340488 0.000000
53 -42.194340 -42.194340 42.000000 19.539351 0.000000
54 -40.229088 -40.229088 39.777779 45.203548 0.000000
54 -42.180676 -42.180676 42.000000 18.110386 0.000000
54 -42.208221 -42.208221 42.000000 20.879911 0.000000
54 -42.193405 -42.193405 42.000000 19.346582 0.000000
54 -42.195263 -42.195263 42.000000 19.934504 0.000000
55 -40.229813 -40.229813 39.777779 45.319347 0.000000
55 -42.181103 -42.181103 42.000000 18.170559 0.000000
55 -42.207802 -42.207802 42.000000 20.868847 0.000000
55 -42.193386 -42.193386 42.000000 19.340553 0.000000
55 -42.195137 -42.195137 42.000000 19.698784 0.000000
56 -40.228355 -40.228355 39.777779 45.335365 0.000000
56 -42.180946 -42.180946 42.000000 18.125225 0.000000
56 -42.208687 -42.208687 42.000000 20.920336 0.000000
56 -42.193405 -42.193405 42.000000 19.344713 0.000000
56 -42.195831 -42.195831 42.000000 19.824335 0.000000
57 -40.229866 -40.229866 39.777779 45.376499 0.000000
57 -42.181252 -42.181252 42.000000 18.135632 0.000000
57 -42.208633 -42.208633 42.000000 20.917336 0.000000
57 -42.193405 -42.193405 42.000000 19.344561 0.000000
57 -42.195301 -42.195301 42.000000 19.714254 0.000000
58 -40.229858 -40.229858 39.777779 45.262291 0.000000
58 -42.181355 -42.181355 42.000000 18.289356 0.000000
58 -42.209045 -42.209045 42.000000 20.905006 0.000000
58 -42.193401 -42.193401 42.000000 19.344095 0.000000
58 -42.195740 -42.195740 42.000000 19.674789 0.000000
59 -40.229832 -40.229832 39.777779 45.262939 0.000000
59 -42.182892 -42.182892 42.000000 18.435253 0.000000
59 -42.209049 -42.209049 42.000000 20.979551 0.000000
59 -42.193398 -42.193398 42.000000 19.333374 0.000000
59 -42.195976 -42.195976 42.000000 19.702311 0.000000
60 -40.230217 -40.230217 39.777779 45.387474 0.000000
60 -42.182697 -42.182697 42.000000 18.413649 0.000000
60 -42.208702 -42.208702 42.000000 20.913433 0.000000
60 -42.193317 -42.193317 42.000000 19.333878 0.000000
60 -42.195873 -42.195873 42.000000 19.751871 0.000000
61 -40.230213 -40.230213 39.777779 45.278423 0.000000
61 -42.182018 -42.182018 42.000000 18.565018 0.000000
61 -42.208839 -42.208839 42.000000 21.005241 0.000000
61 -42.193325 -42.193325 42.000000 19.356905 0.000000
61 -42.195950 -42.195950 42.000000 19.735367 0.000000
62 -40.230221 -40.230221 39.777779 45.297806 0.000000
62 -42.182507 -42.182507 42.000000 18.301411 0.000000
62 -42.208817 -42.208817 42.000000 20.899069 0.000000
62 -42.193554 -42.193554 42.000000 19.347685 0.000000
62 -42.196136 -42.196136 42.000000 19.718985 0.000000
63 -40.230392 -40.230392 39.777779 45.312168 0.000000
63 -42.183014 -42.183014 42.000000 18.557467 0.000000
63 -42.208992 -42.208992 42.000000 20.980106 0.000000
63 -42.193470 -42.193470 42.000000 19.347691 0.000000
63 -42.196125 -42.196125 42.000000 19.675547 0.000000
64 -40.230309 -40.230309 39.777779 45.257740 0.000000
64 -42.183224 -42.183224 42.000000 18.508556 0.000000
64 -42.209202 -42.209202 42.000000 20.941261 0.000000
64 -42.193474 -42.193474 42.000000 19.347918 0.000000
64 -42.195938 -42.195938 42.000000 19.622147 0.000000
65 -40.230110 -40.230110 39.777779 45.250114 0.000000
65 -42.183479 -42.183479 42.000000 18.444721 0.000000
65 -42.208706 -42.208706 42.000000 20.915161 0.000000
65 -42.193470 -42.193470 42.000000 19.347410 0.000000
65 -42.196156 -42.196156 42.000000 19.643034 0.000000
66 -40.230278 -40.230278 39.777779 45.303352 0.000000
66 -42.183228 -42.183228 42.000000 18.352026 0.000000
66 -42.209152 -42.209152 42.000000 20.962643 0.000000
66 -42.193474 -42.193474 42.000000 19.348412 0.000000
66 -42.196075 -42.196075 42.000000 19.638159 0.000000
67 -40.230358 -40.230358 39.777779 45.288307 0.000000
67 -42.183270 -42.183270 42.000000 18.427660 0.000000
67 -42.208839 -42.208839 42.000000 20.892286 0.000000
67 -42.193474 -42.193474 42.000000 19.347921 0.000000
67 -42.195919 -42.195919 42.000000 19.619741 0.000000
68 -40.230270 -40.230270 39.777779 45.277958 0.000000
68 -42.183235 -42.183235 42.000000 18.388559 0.000000
68 -42.208923 -42.208923 42.000000 20.912350 0.000000
68 -42.193474 -42.193474 42.000000 19.338966 0.000000
68 -42.196198 -42.196198 42.000000 19.630028 0.000000
69 -40.230419 -40.230419 39.777779 45.289757 0.000000
69 -42.183216 -42.183216 42.000000 18.366760 0.000000
69 -42.209122 -42.209122 42.000000 20.954271 0.000000
69 -42.193386 -42.193386 42.000000 19.339060 0.000000
69 -42.195904 -42.195904 42.000000 19.625122 0.000000
70 -40.230282 -40.230282 39.777779 45.259037 0.000000
70 -42.183319 -42.183319 42.000000 18.342520 0.000000
70 -42.209187 -42.209187 42.000000 20.929407 0.000000
70 -42.193386 -42.193386 42.000000 19.338995 0.000000
70 -42.196251 -42.196251 42.000000 19.647655 0.000000
71 -40.230339 -40.230339 39.777779 45.276058 0.000000
71 -42.183392 -42.183392 42.000000 18.371502 0.000000
71 -42.209118 -42.209118 42.000000 20.945986 0.000000
71 -42.193386 -42.193386 42.000000 19.344994 0.000000
71 -42.196110 -42.196110 42.000000 19.642155 0.000000
72 -40.230423 -40.230423 39.777779 45.283375 0.000000
72 -42.183281 -42.183281 42.000000 18.338957 0.000000
72 -42.209160 -42.209160 42.000000 20.915171 0.000000
72 -42.193451 -42.193451 42.000000 19.345219 0.000000
72 -42.196308 -42.196308 42.000000 19.668909 0.000000
73 -40.230419 -40.230419 39.777779 45.269680 0.000000
73 -42.183353 -42.183353 42.000000 18.374632 0.000000
73 -42.209152 -42.209152 42.000000 20.928913 0.000000
73 -42.193451 -42.193451 42.000000 19.350306 0.000000
73 -42.196213 -42.196213 42.000000 19.634556 0.000000
74 -40.230453 -40.230453 39.777779 45.279358 0.000000
74 -42.183437 -42.183437 42.000000 18.369972 0.000000
74 -42.209251 -42.209251 42.000000 20.932365 0.000000
74 -42.193497 -42.193497 42.000000 19.350359 0.000000
74 -42.196346 -42.196346 42.000000 19.659821 0.000000
75 -40.230423 -40.230423 39.777779 45.268997 0.000000
75 -42.183449 -42.183449 42.000000 18.355247 0.000000
75 -42.209286 -42.209286 42.000000 20.931049 0.000000
75 -42.193497 -42.193497 42.000000 19.347330 0.000000
75 -42.196388 -42.196388 42.000000 19.653559 0.000000
76 -40.230461 -40.230461 39.777779 45.277451 0.000000
76 -42.183365 -42.183365 42.000000 18.346249 0.000000
76 -42.209278 -42.209278 42.000000 20.940804 0.000000
76 -42.193470 -42.193470 42.000000 19.347162 0.000000
76 -42.196430 -42.196430 42.000000 19.648951 0.000000
77 -40.230404 -40.230404 39.777779 45.270100 0.000000
77 -42.183445 -42.183445 42.000000 18.358665 0.000000
77 -42.209278 -42.209278 42.000000 20.937599 0.000000
77 -42.193470 -42.193470 42.000000 19.347490 0.000000
77 -42.196400 -42.196400 42.000000 19.654959 0.000000
78 -40.230457 -40.230457 39.777779 45.271973 0.000000
78 -42.183422 -42.183422 42.000000 18.355476 0.000000
78 -42.209320 -42.209320 42.000000 20.933096 0.000000
78 -42.193474 -42.193474 42.000000 19.347511 0.000000
78 -42.196388 -42.196388 42.000000 19.654421 0.000000
79 -40.230419 -40.230419 39.777779 45.267227 0.000000
79 -42.183472 -42.183472 42.000000 18.355375 0.000000
79 -42.209255 -42.209255 42.000000 20.935839 0.000000
79 -42.193474 -42.193474 42.000000 19.347582 0.000000
79 -42.196434 -42.196434 42.000000 19.640654 0.000000
80 -40.230446 -40.230446 39.777779 45.272476 0.000000
80 -42.183556 -42.183556 42.000000 18.375320 0.000000
80 -42.209312 -42.209312 42.000000 20.945204 0.000000
80 -42.193474 -42.193474 42.000000 19.347824 0.000000
80 -42.196392 -42.196392 42.000000 19.648373 0.000000
81 -40.230446 -40.230446 39.777779 45.264961 0.000000
81 -42.183506 -42.183506 42.000000 18.378313 0.000000
81 -42.209324 -42.209324 42.000000 20.941809 0.000000
81 -42.193478 -42.193478 42.000000 19.347961 0.000000
81 -42.196381 -42.196381 42.000000 19.641823 0.000000
82 -40.230427 -40.230427 39.777779 45.265934 0.000000
82 -42.183456 -42.183456 42.000000 18.356592 0.000000
82 -42.209297 -42.209297 42.000000 20.935299 0.000000
82 -42.193478 -42.193478 42.000000 19.347757 0.000000
82 -42.196411 -42.196411 42.000000 19.645741 0.000000
83 -40.230438 -40.230438 39.777779 45.267773 0.000000
83 -42.183468 -42.183468 42.000000 18.376541 0.000000
83 -42.209332 -42.209332 42.000000 20.934834 0.000000
83 -42.193478 -42.193478 42.000000 19.347942 0.000000
83 -42.196396 -42.196396 42.000000 19.644182 0.000000
84 -40.230457 -40.230457 39.777779 45.271503 0.000000
84 -42.183495 -42.183495 42.000000 18.373476 0.000000
84 -42.209328 -42.209328 42.000000 20.935225 0.000000
84 -42.193474 -42.193474 42.000000 19.347521 0.000000
84 -42.196415 -42.196415 42.000000 19.646006 0.000000
85 -40.230446 -40.230446 39.777779 45.269676 0.000000
85 -42.183559 -42.183559 42.000000 18.360527 0.000000
85 -42.209339 -42.209339 42.000000 20.935211 0.000000
85 -42.193474 -42.193474 42.000000 19.345140 0.000000
85 -42.196419 -42.196419 42.000000 19.644730 0.000000
86 -40.230476 -40.230476 39.777779 45.273579 0.000000
86 -42.183498 -42.183498 42.000000 18.358902 0.000000
86 -42.209293 -42.209293 42.000000 20.932125 0.000000
86 -42.193451 -42.193451 42.000000 19.345482 0.000000
86 -42.196434 -42.196434 42.000000 19.643599 0.000000
87 -40.230469 -40.230469 39.777779 45.271194 0.000000
87 -42.183529 -42.183529 42.000000 18.361013 0.000000
87 -42.209320 -42.209320 42.000000 20.934576 0.000000
87 -42.193451 -42.193451 42.000000 19.344736 0.000000
87 -42.196438 -42.196438 42.000000 19.649569 0.000000
88 -40.230492 -40.230492 39.777779 45.271385 0.000000
88 -42.183502 -42.183502 42.000000 18.358429 0.000000
88 -42.209316 -42.209316 42.000000 20.933842 0.000000
88 -42.193447 -42.193447 42.000000 19.344915 0.000000
88 -42.196430 -42.196430 42.000000 19.649370 0.000000
89 -40.230476 -40.230476 39.777779 45.272953 0.000000
89 -42.183540 -42.183540 42.000000 18.352894 0.000000
89 -42.209293 -42.209293 42.000000 20.933954 0.000000
89 -42.193447 -42.193447 42.000000 19.344824 0.000000
89 -42.196426 -42.196426 42.000000 19.646748 0.000000
90 -40.230480 -40.230480 39.777779 45.271358 0.000000
90 -42.183529 -42.183529 42.000000 18.354424 0.000000
90 -42.209339 -42.209339 42.000000 20.934111 0.000000
90 -42.193447 -42.193447 42.000000 19.344955 0.000000
90 -42.196426 -42.196426 42.000000 19.647524 0.000000
91 -40.230488 -40.230488 39.777779 45.272305 0.000000
91 -42.183544 -42.183544 42.000000 18.358088 0.000000
91 -42.209324 -42.209324 42.000000 20.937223 0.000000
91 -42.193447 -42.193447 42.000000 19.344809 0.000000
91 -42.196449 -42.196449 42.000000 19.647961 0.000000
92 -40.230484 -40.230484 39.777779 45.271473 0.000000
92 -42.183548 -42.183548 42.000000 18.360891 0.000000
92 -42.209320 -42.209320 42.000000 20.936316 0.000000
92 -42.193447 -42.193447 42.000000 19.345509 0.000000
92 -42.196457 -42.196457 42.000000 19.649221 0.000000
93 -40.230492 -40.230492 39.777779 45.272648 0.000000
93 -42.183567 -42.183567 42.000000 18.359261 0.000000
93 -42.209328 -42.209328 42.000000 20.932070 0.000000
93 -42.193455 -42.193455 42.000000 19.343721 0.000000
93 -42.196449 -42.196449 42.000000 19.646547 0.000000
94 -40.230495 -40.230495 39.777779 45.273930 0.000000
94 -42.183548 -42.183548 42.000000 18.357996 0.000000
94 -42.209320 -42.209320 42.000000 20.933537 0.000000
94 -42.193436 -42.193436 42.000000 19.344042 0.000000
94 -42.196465 -42.196465 42.000000 19.650618 0.000000
95 -40.230499 -40.230499 39.777779 45.273365 0.000000
95 -42.183552 -42.183552 42.000000 18.354483 0.000000
95 -42.209328 -42.209328 42.000000 20.934233 0.000000
95 -42.193439 -42.193439 42.000000 19.344078 0.000000
95 -42.196487 -42.196487 42.000000 19.654915 0.000000
96 -40.230495 -40.230495 39.777779 45.272469 0.000000
96 -42.183544 -42.183544 42.000000 18.357307 0.000000
96 -42.209332 -42.209332 42.000000 20.935032 0.000000
96 -42.193439 -42.193439 42.000000 19.344017 0.000000
96 -42.196499 -42.196499 42.000000 19.656693 0.000000
97 -40.230495 -40.230495 39.777779 45.272110 0.000000
97 -42.183559 -42.183559 42.000000 18.358543 0.000000
97 -42.209332 -42.209332 42.000000 20.935818 0.000000
97 -42.193439 -42.193439 42.000000 19.344006 0.000000
97 -42.196514 -42.196514 42.000000 19.657801 0.000000
98 -40.230495 -40.230495 39.777779 45.271809 0.000000
